url,created_at,content,comment_count,hahas,likes,sads,loves,cares,wows,angries,share_count
https://www.facebook.com/xalo.zodiac/posts/pfbid0eRbcN2XkbDsAR5wPpsBPTJdzZVyhyKsRP7XbCuDBusj4ypqN9EXekWMpsDZq3Bq1l?__cft__[0]=AZUY2rKUFKOLI-Tn6HcSlMhoClBmO2ILH6CDcjEGH4xpwtZ_QHySibHGiySNol31zytAHXxVOrnfPu6GWLoFRrHiDLwbnXxtPZhZVroeG-I4_Gna4pWgEWDj70RD-kFmdjt7avtRpDpObrkKNcj0rCZ2xtOH_37t2uaTru9iFPRu2gBL3gAIYDWa2yIMUWZsBnzrSo4uoCNXt9uK_YdU6-jF&__tn__=%2CO%2CP-R,1701011953,"#1 From: Kim Ngưu
To: Song Tử tháng 6
Mùa đông sang nhanh quá. Em đã chờ anh cả một trời thu. Nhưng có lẽ để nhận được lời hồi đáp của anh là quá khó. Hôm nay trời lạnh hơn một chút nữa. Anh biết gì không? Em lại nhớ anh nữa rồi! Mong rằng “đằng ấy” của em vẫn đang vui vẻ mỗi ngày. Đừng để bị đau ốm nhé, anh phải sống thật khỏe mạnh vào. Đừng tự áp lực công việc nhiều quá nhé, hãy cho phép bản thân mình được sai, được sửa. Hãy tạo ra thêm nhiều campaign ý nghĩa cho người dùng nhé, và cả nhận thật nhiều giải thưởng nữa. Hãy kiếm thật nhiều tiền và đến những nơi anh thích nhé! Dù không ở cạnh bên nhưng em biết rằng anh đã, đang và sẽ luôn sống trong ký ức của em thêm nhiều năm nữa…vì sự dịu dàng của anh, sự ấm áp của anh, cả sự tốt bụng của anh…mọi thứ, em đều yêu.
#2 From: Song Ngư
Mấy bạn nam nhân mã thường thích gì cho ngày sinh nhật á, chứ sắp tới ny tui mà tui không biết tặng gì cả
#3 From: Thiên Bình
To: Thiên Bình T10 em bé của mình
Xin lỗi vì mấy tháng nay đã không thể bảo vệ được chính em, hi vọng là sau khi em vứt bỏ mọi thứ trong quá khứ đi rồi, em sẽ là một cô Thiên Bình đầy xinh đẹp và yêu đời. Mình biết là em đã rất cố gắng nhịn khóc cố gắng để vượt qua căn bệnh rối loạn lo âu mà bác sĩ nói vs em, em đã rất mạnh mẽ và bây giờ là lúc em nên yêu mình giữ cảm xúc cho riêng mình thôi tự khắc cuộc đời sẽ nhẹ nhàng với em
#4 From: Bạch Dương
To: Nhím của em 
Một chiếc bạch dương anh hay bảo overvotu yêu đương với một chiếc song ngư anh tự nói overthinking tưởng không hợp nhưng em nói hợp là hợp. Nhím yêu ơi, lúc nào em cũng ở đây nên anh đừng nghĩ mình cô đơn nhá, em luôn bên cạnh anh rồi nè. Thương anh rất là nhiều luôn 
#5 From: Nhân Mã
To: Gửi ad-tui ko bt rõ cung hoàng đạo của ad
Thề là chưa bao giờ tui yêu cung hoàng đạo như này. Mấy cái post nó khá là đúng í, đặc biết cái gần đây hình như là ngôn ngữ yêu của nhân mã, bla bla. Từ con ng khum tin vào mấy cái ni, tui đã đợi để xem thông điệp hàng tuần của ad. Nc là siu đúng 
 Thanks ad đã giúp tui có thêm động lực và sự chuẩn bị phù hợp trong cs. Gửi ad thân thương. Bật mí là tui có 2 nyc là Bạch Dương và Cự Giải. Công nhận Bạch Dương hợp cung tui thiệt nên h tui vẫn thấy hợp cơ mà chăc ko quay lại đc âu 
 hơi vô tri 
=> Ad cung Kim Ngưu. Chiếc confession này đáng iu quá nhé, xứng đáng được ad bế lên.
#6 From: Bảo Bình
Mình cảm thấy bản thân khó có thể thật sự thích một ai á, kiểu như tia rất nhiều anh nhưng mà chỉ cần anh đó được theo đuổi nhiều 1 chút hay 1 vài lý do cỏn con mà mình sẵn sàng uncrush. Rồi cách vài hôm lại không nhịn được mà liếc nhìn người ta vài cái và mơ mộng chuyện gì đâu không á. Thiệt sự không hiểu nổi mình luôn, liệu đây là đặc trưng của mấy cung Khí hay do tính chóng chán + hèn mà ra vậy trời huhu. Ca này còn cứu được không ạ:')))
#7 From: Ma Kết
To: Ông chú Sư Tử vô tri
Cảm ơn anh ngày ấy đã đến bên em và chữa lành những vết thương lòng vốn đã rò rỉ máu. Biết ơn lắm những lời an ủi, những món quà nhỏ xinh và cả những lời yêu ngọt ngào của anh dành cho em. Mặc dù khi yêu em khá khô khan nhưng thật may là anh luôn hiểu và yêu thương em. Cảm ơn anh vì tất cả
P/S : Ước sau này được anh ấy cho tiền tiếp=))
#8 From: Bạch Dương
To: Xử Nữ
XN các cậu hay bày tỏ tình cảm thế nào vậy? 
#9 From: Sư Tử
Dù biết Sư Tử với Bọ Cạp không hợp lắm nhưng tui vẫn thích Bọ Cạp một cách kì lạ. Nó hút hút kiểu gì ấy :))) Tui còn thích cả Bạch Dương với Kim Ngưu nữa tại thấy hợp á. Có ai có bồ là 3 cung này có thể kể tui nghe đc ko, tại thích nghe lém hihi 
#10 From: Bọ Cạp
To: Gửi chú Cự Giải bao đồng của mọi người!
Hehe chị muốn nói là nhiều lúc em thật thờ ơ, lắm lúc em quan tâm nói những câu dịu dàng mà chị chưa từng được nghe ai nói, chị thích lém lun, mê lém. Nhưng mà em đối tốt với nhiều người, em lại không đối xử tốt vơia bản thân mình. Chị chỉ có thể lắng nghe em, em chữa lành cho mọi người nhưng em lại chẳng thể chữa lành chính mình, liệu em thấy cuộc đời nó như thế nào? Thế nên là, chú Cự Giải đáng iu hãy chữa lành chính mình nhé. Chị thích em, thích với tư cách là thích làm bạn, thích được kể chuyện của em cho chị nghe.Hehe
#xalocfs #zodiac #xalozodiac",961,1113,2971,72,1404,55,13,1,101
https://www.facebook.com/xalo.zodiac/posts/pfbid02JRnVWUM3so9eu8mH26VP23LLfMQKu9ErEjzsjzdR8pyj5QxyvigsMgKiHurn5pVGl?__cft__[0]=AZWeoJz0yUk8EW_GL_FxoUnoP7a2YvYZ9Vm9ix6soVtzNBPT9MWPr22m0bftCqJRjKZZOMT3r5i0qj0aG0R0Z1qLYPnjQmBAaFTCcuCRRjXOFvQSSbaufwXsnD9KRJ0QZMgv4Go4rdFMNGatIGukTSgQWpDgk-nfzJgXic9h-anJLSGeNZocQbb2bYuE4JI8zWGbwdLMT6w8XX0pfgw9MWg9&__tn__=%2CO%2CP-R,1701007819,"Không cáu ai được lâu :))
#thienbinh
#zodiac
-----
Ghét sữa dâu",1490,3975,3304,1907,78,26,16,5,469
https://www.facebook.com/xalo.zodiac/posts/pfbid02gPcSYPaJNyW4jtgEcSnvVKmsNuF3CTKLKQQRV5ziTpPuTMe2gJrtdb1rJp1N7NmKl?__cft__[0]=AZWq5gnHoxU5UNa_zkonRhomk5Wy7bJhej5dWwBMRHwKiQQsG29ucryjwqvjn3qgOXu5_ZmGBEymWQAN7cvjLGBZ9Yr8q_6OMsy1YWmtA41o0Kw0ZOgOOygGS7PCZsIks4bFgpLDqwtpbnjnXYoWAiWhWDBoBbm-Go1TaZpPbSZLBNPYaeWt3W-9gWwVWuqEii6riORZbqwIfg-csjhXL_a2&__tn__=%2CO%2CP-R,1701001394,"Có căn lắm mới thấy được :)))
#zodiac
#xalozodiac
-----
Twila",486,3676,2421,673,91,12,11,1,145
https://www.facebook.com/xalo.zodiac/posts/pfbid02z6qmmSyLnNnUuLXuYiEhWPE7GVy4u6Q2FWERVUPrVZ4gYCxfbUwyjjRiKBxYnLv8l?__cft__[0]=AZWwOJhWGDPJqWI9cisAdRfPq7AIWBOlzNboTnNhP94bCT9AwJ3UrhEaEjeRBB7rCIVNVMUaIBE68enhWrgbbMkuIoBE1o_HChieXr1Ryqtgkzo1XJQvN6zuW7FkOwPWuNzHUtAoujB1Xx6H-4tcFFhSoMFttAdGmjYGqTMsgMsoUYRN0xfY1anBT-_dEdCuPBR93V4thrYI40K_g622f4rf&__tn__=%2CO%2CP-R,1700998860,"Tôi thường ví cung Song Tử là cung của sự khéo miệng:
- Khi đứa Song Tử ưa phối đồ xấu: Ôi, bộ đồ này đẹp quá, nhưng mà trời đang lạnh, khoác cái áo khoác này vào cho ấm người, bận ít vải thế.
- Khi đứa Song Tử ghét phối đồ xấu: tớ chưa thấy cậu mặc bộ nào đẹp như bộ này, cho tớ xin tên shop với 
.
Tôi thường Ví cung Bọ Cạp là cung của sự ác miệng:
- Khi đứa Bọ Cạp ưa phối đồ xấu: Mặc cái áo khoác này vào, nếu không ch* nó còn không dám đi chung với m chứ đừng nói là t
- Khi đứa Bọ Cạp ghét phối đồ xấu: Gu ăn mặc của bạn là tham khảo từ tác phẩm nổi tiếng nào thế, tranh biếm họa à?",2081,7170,4968,1720,158,33,18,2,409
https://www.facebook.com/xalo.zodiac/posts/pfbid025NXF9B1nZZJLGtNdEtMinJUBu8tAYL1iVA97t9Q3NF9HwaYnDajAaTxc7kaHoBhQl?__cft__[0]=AZVVfC91S0u24JPtPFL_Bu-lJBTb-U9pDjgJd7hguLv71XaW3VvT3dxmkuEMYm1CiltL1fmp9nv2ueDCensSAe26UrXW3HNGevEgSlKGr1nxALfoHDSVgzvyJLhsizKUtwYHnz_9aYP2ozec3LMzcH9QGcArmCpX0LKA3xyS5a2as7I8lTj9wSienR1Z8eBmfkI3GA2mRWnxXjdeepEgwnJ9&__tn__=%2CO%2CP-R,1700962391,"Trung bình nếu bạn nhắn tin, tag Kim Ngưu, Song Ngư vào giờ này, thì khoảng 4 tiếng sau tụi nó mới rep, vì tụi nó còn đang ngủ 
.",1680,2951,3435,1116,99,14,15,6,131
https://www.facebook.com/xalo.zodiac/posts/pfbid02j5ZfBoLU6Bc4jk524eZv7YZTs67UB3RhJh2UwKh3MVxtWJ1cZekW5vfTRGKyKvBxl?__cft__[0]=AZWiAcnp6vAhb0or7RdyuuiXWn3bE8ZvOfZcpzNVm0ubsMfDPSviad3wXlWWRLKnrme_MNZ-X4GU6U9jrn4TX9M-6EkHeaFzYtYv1pnnTJQN4W_eN6KTjNLmz-09MIH45b-1c-HdPbpzzMdonzZNPKWHdIr33Kt3Vnt65rRERJiLr6jIoyCydaS9CbtHCCQZysn2Np7nu4mvTQzpqxJl0cpB&__tn__=%2CO%2CP-R,1700929445,[Series] Review trải nghiệm yêu đương với Cự Giải,4865,1917,4815,782,257,49,27,4,538
https://www.facebook.com/xalo.zodiac/posts/pfbid0mo9vcEgKKSV1Mb2YJNQDe5fKqNfd2iqYJ2JMf8gTUFrbkeajgQdFFJcpSi6LsB7ul?__cft__[0]=AZVT_EN1-mJmTbABl1ggjtCKT-Tb09i6hIEorlttFXH2fKnkgxH7jGUkmYWmPcGd-cE9T_08QjWMPEEfzy8LrYJFYAxisHacnnT172Q2iOMzdCjipZGZytnjH4Av49TQlEqFd2RNUfntPeBNYgD_94PirRX1jtkB_GafHLxSLd2LghRkYx1k5P1ijnqraPfKmgUm5shnDBX-R0qCgipaRex1&__tn__=%2CO%2CP-R,1700925060,Thứ 2 mới có thông điệp nhie cả nhà iu,517,111,4748,2850,1096,74,11,20,25
https://www.facebook.com/xalo.zodiac/posts/pfbid02aXRRfqwEfff6B8Km7Tn9JRgRcdqqD4qiMj8qqPX4MBoaBsmhhSaR8EzxfAAcfUWml?__cft__[0]=AZV8uE8Xhhb1YWieNjYT5KhnpxxoMGqsbGEGrasMUFEJapHs4IkoEs1-AektDKDzIpO430uwygX7liOs_uuB3G4qo0iSA3czR7yxr9CizFJ9MCy4caJ7IzT2_Q7tp2RttmRDBwPIHShyGYelZ_2U-_Wl7C9B79t9KdOX1obx0ZodPsPIhKk0PYNiGCvF74-b0QSi4xu-7VkRcXPmfMkyxzA4&__tn__=%2CO%2CP-R,1700906234,"Thở nếu bạn từng crush cung Lửa
#trasuaolong",3297,4509,5439,2022,222,37,23,9,442
https://www.facebook.com/xalo.zodiac/posts/pfbid0EW5oGNGDVoXUKzQzUfUDF55kYYfUXJhaANsBVFZnrADBn6eCgDRKYNv9S9YWwdvgl?__cft__[0]=AZVDQgHaorOJ6Zv6ZN8AhSRPeYKgQzWnTlGSfRjyv2CF4iAJ0QVbGbkOV51TYLvpwYmN5mPRxaKks2QogZnrDGjvGcmyVfaYgDVryxamYvQ883wwwRdNRq7q0pAqE1XLsR8-kB3WDvMbop7XtgKd33pvdgTCCLClKJEtQZGI4ANkN9JuI704yI39jicW7QlKQsxL6AuOfC4P-pAwUkkN4PQW&__tn__=%2CO%2CP-R,1700834454,"Quý lắm ms đặt ák 
#zodiac
#xalozodiac
-----
Men",1901,4538,2866,102,568,62,19,0,336
https://www.facebook.com/xalo.zodiac/posts/pfbid0FGrnnE4iHkEGt8fibCgQfBKEESctjicMvL2CuPVkLy7mcQwNzPEjfrXH5WwRSptsl?__cft__[0]=AZVjzDaW8alBBOlVxJYV6tu3ECcYugyBCS6eiuc8JRl8Q6iOaLQ6ZLtlgBh7GvzGblK-dHuLvaY7lPUQzNpWuaeOOqmq5LRE2HUo7W7e-4lDI4ezYkZSpLB3yHnwunm0RTGqEZQmzZeE_QPNWlpYWgg5HxYjdUBpU39rWPzBfLnNQvRreFSkMukibD66znPpi_IPHg_yiOPSyJ1RCTTW8Co7&__tn__=%2CO%2CP-R,1700827235,"T mệch r nka nhỏ kiaaaa
#kimnguu
#baobinh
#zodiac
-----
Mèo con",308,2419,1604,379,27,9,2,1,44
https://www.facebook.com/xalo.zodiac/posts/pfbid034ttdpgAeFaADFgN42tGH8aoqdnsVUFZAwMWDRqGKhyYcdMwBFVnQiBTJP1A5Dg5ol?__cft__[0]=AZXYYIX2CH2cCb2R4-wxkD0e9c6l5P3ye_6CwvMkAbDCCLgIAJgJFUH1eAaenQvZasSd0_ujw5wQjQMYN3SxOOTp6TVDTqZcF3nAVuPVKbUER1ZNRwOmFIIRPyQZrrfoQaQbY6HDlB6zocBedOK8Vd7UwF8lFM5Dqx0eOqlU_2dSkWtGuOjFUoU5RQ302fXI4t1Y6T5E-thMZq_UY7CuOiJZ&__tn__=%2CO%2CP-R,1700817053,"Khi ai đó hỏi suy nghĩ đầu tiên của Bảo Bình về họ trong lần đầu gặp:
 Dễ thương, hiền lành, xinh đẹp, hài hước,...
 Tránh xa tao ra, tránh xa tao ra, tránh xa tao ra
 Đừng có bắt chuyện với tao, làm ơn,
đừng mở cái mồm ra trời ơi nó mở mồm rồi kìa
 Mày thử động cái tay vào người tao xem tao la lên đó",1478,5515,3797,438,122,15,6,1,385
https://www.facebook.com/xalo.zodiac/posts/pfbid0KwUuNSJEnm46yNLUA5DU5taD7PnUAjjryZZ9JHSfjB8mHwsWWipQBso3ZM2CnFN4l?__cft__[0]=AZU_Iec6geTJ0jxogEtmDsqwGKSqe-ZZ5wjFcmw-FpgyYymAy0ncnKGJuW8E4gfPuxrSDDtYNBIpaiJX_LJhJLYfAnNkgnW0VNi1qVN0XG6lZoK0pdIva77z7kEjA00ZcbuNKR1ROmDZE7h6CvAL9bTxvzpsWzNQXZwggr7Yx-oddmtjstiCy4u78RsA7sP2y_-Ivp_kafb0K50zMVhOzDRj&__tn__=%2CO%2CP-R,1700806501,"Mấy nhõ trội Khí, Lửa trọng bạn khinh sắc 
#trasuaolong",2856,11086,6407,1807,208,40,26,0,434
https://www.facebook.com/xalo.zodiac/posts/pfbid023jHouDFDBg37bGhTsk4218HoQdgDKe9n6uNZJFMG96tj3ZZMXWeBhvuwafJGj6aZl?__cft__[0]=AZU3YmHphfWQbnwBpK-GhX_m-qFX9hOUyev3A1FJersPSJHGhGllEIb8DCe42shDsciBwc9Onnn_7bJi5x1ISGIYvjFS92gqFSzrZ5mCBABjNH3ukuIfOVkIWJCLSfhfFQULjMgWX9vSPp0zsZNDBwRGAxuzJ8B5433AtHkFAl1Ke6mRniwi1tC6F9oxGRvUKPe_ahGtD5t93iqsnywK5Dr2&__tn__=%2CO%2CP-R,1700756787,[Series] Review trải nghiệm yêu đương với Thiên Bình,5635,2597,5736,1150,260,55,38,5,607
